Date,Opponent,Home/Away,Knicks Score,Opp Score,Actual Total,Actual Margin,Result,Training Games,ML Win Prob %,ML W/L,Poly Spread,Poly Win Prob %,Poly Margin,Poly Error,Poly W/L
"Nov 05, 2025",Timberwolves,Home,137,114,251,23.0,WIN,407,41.7,Wrong,-4.5,65.9,4.5,18.5,Correct
"Nov 03, 2025",Wizards,Home,119,102,221,17.0,WIN,406,75.0,Correct,-5.5,69.2,5.5,11.5,Correct
"Oct 22, 2025",Cavaliers,Home,119,111,230,8.0,WIN,400,38.2,Wrong,-2.5,59.0,2.5,5.5,Correct
"Oct 24, 2025",Celtics,Home,105,95,200,10.0,WIN,401,43.1,Wrong,-1.5,55.4,1.5,8.5,Correct
"Oct 26, 2025",Heat,Away,107,115,222,-8.0,LOSS,402,48.9,Correct,-2.5,59.0,2.5,10.5,Wrong
"Oct 28, 2025",Bucks,Away,111,121,232,-10.0,LOSS,403,46.8,Correct,-1.5,55.4,1.5,11.5,Wrong
"Nov 02, 2025",Bulls,Home,128,116,244,12.0,WIN,405,62.3,Correct,-7.5,75.2,7.5,4.5,Correct
"Nov 03, 2025",Wizards,Home,119,102,221,17.0,WIN,406,75.0,Correct,-12.5,87.2,12.5,4.5,Correct
"Nov 05, 2025",Timberwolves,Home,137,114,251,23.0,WIN,407,41.7,Wrong,-5.5,69.2,5.5,17.5,Correct
"Nov 09, 2025",Nets,Home,134,98,232,36.0,WIN,408,70.1,Correct,-15.5,92.1,15.5,20.5,Correct
"Nov 11, 2025",Grizzlies,Home,133,120,253,13.0,WIN,409,58.6,Correct,-8.5,78.0,8.5,4.5,Correct
"Nov 12, 2025",Magic,Home,107,124,231,-17.0,LOSS,410,57.1,Wrong,-3.5,62.5,3.5,20.5,Wrong
"Nov 14, 2025",Heat,Home,140,132,272,8.0,WIN,411,59.9,Correct,-4.5,65.9,4.5,3.5,Correct
"Nov 17, 2025",Heat,Away,113,115,228,-2.0,LOSS,412,44.6,Correct,1.5,44.6,-1.5,0.5,Correct
"Nov 19, 2025",Mavericks,Away,113,111,224,2.0,WIN,413,43.8,Wrong,-4.5,65.9,4.5,2.5,Correct
"Nov 22, 2025",Magic,Away,121,133,254,-12.0,LOSS,414,55.7,Wrong,-2.5,59.0,2.5,14.5,Wrong
"Nov 24, 2025",Nets,Away,113,100,213,13.0,WIN,415,40.0,Wrong,-12.5,87.2,12.5,0.5,Correct
"Nov 26, 2025",Hornets,Away,129,101,230,28.0,WIN,416,63.5,Correct,-7.5,75.2,7.5,20.5,Correct
"Nov 28, 2025",Bucks,Home,118,109,227,9.0,WIN,417,41.0,Wrong,-6.5,72.3,6.5,2.5,Correct
"Nov 30, 2025",Raptors,Home,116,94,210,22.0,WIN,418,71.5,Correct,-8.5,78.0,8.5,13.5,Correct
"Dec 02, 2025",Celtics,Away,117,123,240,-6.0,LOSS,419,38.5,Correct,-1.5,55.4,1.5,7.5,Wrong
"Dec 03, 2025",Hornets,Home,119,104,223,15.0,WIN,420,66.8,Correct,-9.5,80.6,9.5,5.5,Correct
"Dec 05, 2025",Jazz,Home,146,112,258,34.0,WIN,421,78.9,Correct,-16.5,93.3,16.5,17.5,Correct
"Dec 07, 2025",Magic,Home,106,100,206,6.0,WIN,422,51.7,Correct,-3.5,62.5,3.5,2.5,Correct
"Dec 09, 2025",Raptors,Away,117,101,218,16.0,WIN,423,53.7,Correct,-6.5,72.3,6.5,9.5,Correct
"Dec 13, 2025",Magic,Away,132,120,252,12.0,WIN,424,51.1,Correct,-5.5,69.2,5.5,6.5,Correct
"Dec 31, 2025",Spurs,Away,132,134,266,-2.0,LOSS,432,21.8,Correct,-2.5,59.0,2.5,4.5,Wrong
"Dec 18, 2025",Pacers,Away,114,113,227,1.0,WIN,425,46.7,Wrong,-3.5,62.5,3.5,2.5,Correct
"Dec 19, 2025",76ers,Home,107,116,223,-9.0,LOSS,426,48.7,Correct,-5.5,69.2,5.5,14.5,Wrong
"Dec 21, 2025",Heat,Home,132,125,257,7.0,WIN,427,64.5,Correct,-8.5,78.0,8.5,1.5,Correct
"Dec 23, 2025",Timberwolves,Away,104,115,219,-11.0,LOSS,428,64.6,Wrong,2.5,41.0,-2.5,8.5,Correct
"Dec 25, 2025",Cavaliers,Home,126,124,250,2.0,WIN,429,45.8,Wrong,-2.5,59.0,2.5,0.5,Correct
"Dec 27, 2025",Hawks,Away,128,125,253,3.0,WIN,430,75.5,Correct,-5.5,69.2,5.5,2.5,Correct
"Dec 29, 2025",Pelicans,Away,130,125,255,5.0,WIN,431,63.4,Correct,-8.5,78.0,8.5,3.5,Correct
"Dec 31, 2025",Spurs,Away,132,134,266,-2.0,LOSS,432,21.8,Correct,1.5,44.6,-1.5,0.5,Correct
"Jan 02, 2026",Hawks,Home,99,111,210,-12.0,LOSS,433,58.6,Wrong,-5.5,69.2,5.5,17.5,Wrong
"Jan 03, 2026",76ers,Home,119,130,249,-11.0,LOSS,434,44.0,Correct,-5.5,69.2,5.5,16.5,Wrong
"Jan 05, 2026",Pistons,Away,90,121,211,-31.0,LOSS,435,88.4,Wrong,1.5,44.6,-1.5,29.5,Correct
"Jan 07, 2026",Clippers,Home,123,111,234,12.0,WIN,436,43.8,Wrong,-5.5,69.2,5.5,6.5,Correct
"Jan 09, 2026",Suns,Away,107,112,219,-5.0,LOSS,437,39.4,Correct,-1.5,55.4,1.5,6.5,Wrong
"Jan 11, 2026",Trail Blazers,Away,123,114,237,9.0,WIN,438,62.5,Correct,-5.5,69.2,5.5,3.5,Correct
"Jan 14, 2026",Kings,Away,101,112,213,-11.0,LOSS,439,61.5,Wrong,-10.5,83.0,10.5,21.5,Wrong
"Jan 15, 2026",Warriors,Away,113,126,239,-13.0,LOSS,440,57.6,Wrong,2.5,41.0,-2.5,10.5,Correct
"Jan 17, 2026",Suns,Home,99,106,205,-7.0,LOSS,441,40.2,Correct,-4.5,65.9,4.5,11.5,Wrong
"Jan 19, 2026",Mavericks,Home,97,114,211,-17.0,LOSS,442,44.3,Correct,-11.5,85.2,11.5,28.5,Wrong
"Jan 21, 2026",Nets,Home,120,66,186,54.0,WIN,443,73.4,Correct,-12.5,87.2,12.5,41.5,Correct
"Jan 24, 2026",76ers,Away,112,109,221,3.0,WIN,444,65.7,Correct,1.5,44.6,-1.5,4.5,Wrong
"Jan 27, 2026",Kings,Home,103,87,190,16.0,WIN,445,99.7,Correct,-14.5,90.6,14.5,1.5,Correct
"Jan 28, 2026",Raptors,Away,119,92,211,27.0,WIN,446,58.2,Correct,4.5,34.1,-4.5,31.5,Wrong
"Jan 30, 2026",Trail Blazers,Home,127,97,224,30.0,WIN,447,80.6,Correct,-6.5,72.3,6.5,23.5,Correct
"Feb 01, 2026",Lakers,Home,112,100,212,12.0,WIN,448,42.2,Wrong,-4.5,65.9,4.5,7.5,Correct
"Feb 03, 2026",Wizards,Away,132,101,233,31.0,WIN,449,100.0,Correct,-14.5,90.6,14.5,16.5,Correct
"Feb 04, 2026",Nuggets,Home,134,127,261,7.0,WIN,450,59.5,Correct,-6.5,72.3,6.5,0.5,Correct
"Feb 06, 2026",Pistons,Away,80,118,198,-38.0,LOSS,451,78.2,Wrong,2.5,41.0,-2.5,35.5,Correct
"Feb 08, 2026",Celtics,Away,111,89,200,22.0,WIN,452,35.3,Wrong,3.5,37.5,-3.5,25.5,Wrong
"Feb 10, 2026",Pacers,Home,134,137,271,-3.0,LOSS,453,72.8,Wrong,-11.5,85.2,11.5,14.5,Wrong
"Feb 11, 2026",76ers,Away,138,89,227,49.0,WIN,454,69.3,Correct,-2.5,59.0,2.5,46.5,Correct
"Feb 19, 2026",Pistons,Home,111,126,237,-15.0,LOSS,455,79.6,Wrong,-4.5,65.9,4.5,19.5,Wrong
"Feb 21, 2026",Rockets,Home,108,106,214,2.0,WIN,456,100.0,Correct,-2.5,59.0,2.5,0.5,Correct
"Feb 22, 2026",Bulls,Away,105,99,204,6.0,WIN,457,52.4,Correct,-10.5,83.0,10.5,4.5,Correct
"Feb 24, 2026",Cavaliers,Away,94,109,203,-15.0,LOSS,458,46.3,Correct,3.5,37.5,-3.5,11.5,Correct
"Feb 27, 2026",Bucks,Away,127,98,225,29.0,WIN,459,42.2,Wrong,-7.5,75.2,7.5,21.5,Correct
"Mar 03, 2026",Raptors,Away,111,95,206,16.0,WIN,461,61.9,Correct,-1.5,55.4,1.5,14.5,Correct
"Mar 04, 2026",Thunder,Home,100,103,203,-3.0,LOSS,462,0.3,Correct,4.5,34.1,-4.5,1.5,Correct
"Mar 06, 2026",Nuggets,Away,142,103,245,39.0,WIN,463,39.6,Wrong,1.5,44.6,-1.5,40.5,Wrong
"Mar 08, 2026",Lakers,Away,97,110,207,-13.0,LOSS,464,42.6,Correct,-4.5,65.9,4.5,17.5,Wrong
"Mar 09, 2026",Clippers,Away,118,126,244,-8.0,LOSS,465,38.7,Correct,-1.5,55.4,1.5,9.5,Wrong
"Mar 11, 2026",Jazz,Away,134,117,251,17.0,WIN,466,17.4,Wrong,-14.5,90.6,14.5,2.5,Correct
"Mar 13, 2026",Pacers,Away,101,92,193,9.0,WIN,467,51.9,Correct,-11.5,85.2,11.5,2.5,Correct
"Mar 15, 2026",Warriors,Home,110,107,217,3.0,WIN,468,18.6,Wrong,-12.5,87.2,12.5,9.5,Correct
